20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0095","pop1","495","505","504","504","500","508","506","505","506","507","497","499","501","502","504","494","505","505","500","494","501","498","497","494","504","499","500","501","503","501","503","492","500","501","498","499","496","499","504","501"
"0096","pop1","496","494","500","505","500","500","504","505","501","496","504","498","506","502","500","500","508","497","505","506","498","497","495","494","505","506","499","500","500","500","500","499","498","496","493","504","498","497","504","501"
"0097","pop1","495","495","508","504","502","508","500","496","501","496","503","505","507","503","503","503","503","497","498","497","501","498","497","493","496","500","503","510","492","504","501","500","501","502","496","498","499","500","502","506"
"0098","pop1","495","496","502","505","500","507","506","506","504","494","505","499","498","498","503","503","505","496","499","494","496","499","494","503","500","506","500","502","494","502","500","500","501","491","493","499","496","504","505","505"
"0099","pop1","494","504","506","501","503","507","497","501","501","501","500","498","508","497","503","503","497","497","498","493","503","500","509","509","500","503","502","494","500","497","500","500","500","497","493","501","496","500","503","503"
"0100","pop1","498","504","504","504","503","501","504","509","504","505","497","506","504","498","500","500","508","497","500","500","503","500","496","495","499","499","497","504","503","502","496","493","504","491","491","492","497","499","501","501"
"0101","pop1","494","505","509","503","508","510","504","497","504","503","500","495","507","504","502","499","507","504","496","498","500","500","496","510","500","499","500","493","503","502","501","500","499","496","500","492","497","495","504","503"
"0102","pop1","496","506","504","504","501","508","506","505","506","502","496","506","508","499","502","494","503","506","494","497","495","500","492","493","496","499","510","498","500","501","494","493","500","505","496","501","496","502","504","502"
"0103","pop1","496","497","506","499","503","501","504","509","504","501","504","499","506","503","503","501","503","506","504","494","503","496","495","510","498","499","497","503","496","502","496","493","497","499","501","499","499","499","505","503"
"0104","pop1","497","504","505","505","508","507","504","503","495","504","500","500","502","494","500","504","504","506","499","495","496","505","494","493","504","499","499","502","502","492","496","495","498","496","500","500","498","493","505","504"
"0105","pop1","495","505","509","498","503","500","506","504","509","503","502","502","507","505","499","495","503","498","499","495","502","496","495","494","503","499","500","494","494","502","496","496","501","503","497","499","497","499","503","501"
"0106","pop1","496","494","505","503","509","502","505","501","504","496","496","505","506","497","503","500","508","504","495","501","501","498","509","492","504","501","502","497","502","492","493","497","495","492","500","493","497","497","503","501"
"0107","pop1","496","505","500","505","501","506","505","497","509","503","505","502","506","504","503","493","503","497","500","493","502","504","497","509","502","497","500","501","502","492","501","500","498","501","493","499","496","501","502","502"
"0108","pop1","495","503","502","506","501","500","506","500","504","496","503","502","506","502","503","500","497","500","499","501","503","504","494","502","496","500","500","506","500","502","496","496","500","496","499","495","497","499","503","503"
"0109","pop1","494","504","506","505","500","508","505","501","505","499","496","499","506","494","502","501","508","499","505","498","496","497","509","501","498","502","500","503","500","502","500","498","497","502","496","503","504","500","504","502"
"0110","pop1","495","494","508","504","509","510","500","498","506","499","495","494","506","508","502","495","503","506","495","492","495","497","496","495","504","499","499","499","502","492","494","493","500","499","493","498","497","499","506","503"
"0111","pop1","495","498","509","505","501","508","497","509","506","502","497","499","506","501","503","494","500","509","494","495","499","507","495","495","500","506","499","500","499","503","494","501","502","495","491","498","500","493","505","503"
"0112","pop1","496","506","504","509","501","506","506","497","501","500","503","503","498","498","502","499","504","496","498","495","496","497","496","495","500","504","495","497","500","491","493","497","499","496","500","503","497","492","503","503"
"0113","pop1","495","506","502","509","503","506","504","496","505","503","499","502","506","502","503","505","505","500","500","498","497","497","496","495","503","503","503","494","502","504","500","493","504","503","493","501","497","503","504","495"
"0114","pop1","496","494","504","504","501","500","506","505","505","501","497","492","506","507","503","499","508","497","494","493","502","497","506","494","504","503","496","505","502","492","500","498","500","502","500","495","500","501","505","506"
"0115","pop1","496","494","504","509","502","505","501","508","495","502","504","501","506","499","503","500","505","496","500","495","496","495","495","508","500","505","500","501","503","491","494","495","498","503","493","501","499","501","502","502"
"0116","pop1","495","503","506","506","498","506","504","504","504","494","497","500","506","500","499","498","505","499","500","497","495","499","496","495","498","504","499","505","491","502","495","497","497","494","500","501","498","501","504","502"
"0117","pop1","495","504","500","505","509","503","505","497","500","500","497","497","506","506","503","499","498","497","498","492","502","499","495","495","496","499","500","501","503","503","492","492","504","491","493","501","498","498","505","502"
"0118","pop1","495","496","504","507","508","508","506","500","496","500","499","495","497","504","503","503","507","507","500","500","503","495","495","494","504","503","499","494","502","502","500","500","498","495","500","500","505","493","506","503"
"0119","pop1","496","502","498","499","502","501","507","509","505","509","496","497","506","504","503","503","508","508","498","491","498","498","494","494","498","504","496","506","500","503","497","497","498","505","493","491","497","500","502","501"
"0120","pop1","496","504","506","505","506","508","500","497","504","509","497","497","506","506","503","503","506","499","503","493","501","496","506","495","496","505","499","509","500","500","494","493","491","494","493","492","496","498","505","502"
"0121","pop1","496","497","509","505","508","508","505","500","496","500","497","498","504","505","505","501","497","499","498","493","498","497","507","508","498","499","500","500","503","502","501","492","501","501","500","491","497","500","505","496"
"0122","pop1","495","493","504","504","500","506","506","505","505","494","496","500","501","504","500","501","508","499","494","506","499","504","495","509","499","499","503","503","500","503","496","493","498","500","491","495","497","500","505","504"
"0123","pop1","496","494","502","508","502","508","506","498","505","505","500","498","506","504","500","497","506","500","505","495","503","504","492","507","503","501","496","508","503","492","494","493","501","495","497","492","496","499","504","503"
"0124","pop1","496","497","498","503","509","505","504","499","504","503","496","496","501","507","502","502","498","497","492","501","496","504","496","495","500","503","497","498","494","491","500","497","496","491","500","491","499","499","504","502"
"0125","pop1","493","496","504","507","509","502","506","505","502","500","496","495","506","507","503","504","503","505","493","506","496","504","495","492","500","503","499","498","502","502","500","497","501","504","501","504","496","502","505","502"
"0126","pop1","494","497","509","505","501","507","506","496","493","499","496","501","508","508","502","499","505","500","498","497","495","497","496","497","496","500","494","492","503","501","496","498","498","505","500","500","499","493","501","501"
"0127","pop1","494","494","502","503","509","507","506","509","505","503","499","495","506","500","503","504","508","508","492","492","497","497","492","494","503","499","500","494","500","502","501","495","500","496","500","499","499","504","504","506"
"0128","pop1","493","497","505","503","505","501","506","504","505","500","498","502","506","508","492","493","497","506","498","492","502","497","495","492","498","496","499","502","503","491","500","495","498","492","491","494","504","500","505","504"
"0129","pop1","495","494","506","505","502","507","506","506","506","505","500","498","500","501","495","498","507","496","493","495","496","504","506","494","504","502","494","509","499","491","494","493","491","492","500","497","498","500","505","505"
"0130","pop1","496","494","506","509","502","502","506","505","504","500","497","499","497","505","503","500","497","505","503","505","496","495","496","495","503","501","503","503","494","491","500","492","500","504","493","498","496","497","505","506"
"0131","pop1","493","506","505","505","498","500","506","506","501","507","499","502","509","498","500","494","506","505","504","491","503","497","496","502","498","504","501","494","494","502","502","492","504","491","500","499","498","498","504","502"
"0132","pop1","495","496","506","501","500","508","506","504","500","500","495","502","506","507","494","501","505","494","498","493","501","496","495","509","502","505","502","494","499","500","494","500","501","501","493","495","497","505","504","504"
"0133","pop1","495","497","504","509","501","500","506","509","495","493","500","506","506","507","500","494","497","505","498","495","502","502","497","502","499","505","500","494","502","504","493","495","498","497","500","493","497","497","504","502"
"0134","pop1","496","498","502","503","503","501","504","495","495","496","496","501","508","507","502","505","505","500","498","491","502","504","493","510","503","503","500","510","500","501","493","493","500","493","493","502","497","499","504","502"
"0135","pop1","494","504","503","503","501","507","506","503","502","507","505","500","509","503","503","501","506","500","498","494","500","504","496","492","500","504","500","494","491","498","500","492","498","497","496","499","499","499","505","503"
"0136","pop1","493","496","502","505","499","508","504","495","505","500","496","506","501","504","502","501","508","504","503","491","495","497","495","509","498","499","500","501","503","502","497","497","498","500","500","501","499","503","504","501"
"0137","pop1","495","502","506","507","501","508","505","495","506","502","505","506","508","498","500","493","497","506","503","494","497","499","494","493","496","500","501","509","492","504","493","492","505","492","497","491","498","497","502","503"
"0138","pop1","497","492","506","500","504","507","506","506","493","503","505","499","503","498","503","497","508","508","498","501","496","497","495","505","496","504","500","503","500","503","500","493","498","499","502","494","498","495","504","496"
